NAME,CITY,COUNTRY
Grand Nora Hotel , Gaziosmanpasa Ankara, Turkey
ÖZGÜN HOTEL, Ulus Ankara, Turkey
Eylül Kır Evi Kırbahçesi Konaklama, Ankara, Turkey
Luxury 1+1 Daire, Ankara, Turkey
GOLAZ SUİT OTEL, Gaziosmanpasa Ankara, Turkey
GOLAZ SUİT OTEL, Gaziosmanpasa Ankara, Turkey
Private Room, Ankara City-Centre Ankara, Turkey
SPOR HOTEL, Ulus Ankara, Turkey
Point Rezidans, Ankara, Turkey
Doubletree By Hilton Ankara, Turkey , Ankara
Single Host But Scenic House , Ankara City-Centre Ankara, Turkey
ışıklar doruk hotel , Ulus Ankara, Turkey
EuroResort, Kavaklidere Ankara, Turkey
34 Yüksel Caddesi, Kizilay Ankara, Turkey
Flat Room Ankara Cankaya, Ankara City-Centre Ankara, Turkey
Kiralık Oda, Ankara, Turkey
AVCI HOTEL, Ankara, Turkey
Şahsi Ev, Ankara, Turkey
2 + 1 APARTMENT IN THE SITE, Ankara, Turkey
Private room on sharing apartment, Ankara City-Centre Ankara, Turkey
