Names
SAMIDIN 12
VAHRET 1
TANCIL 2
MENZUNE 5
GUSSIN 1
ZADEL 1
RUNAYLA 1
TEYSIR 38
ANNIK 71
HODE 34
SEMDULLAH 1
ZEHLA 17
SEVILGUN 1
YETERI 7
MENDERESE 1
KUMET 2
SANDUR 2
KESO 1
ZORAV 2
CENBELLI 3
SAGDULLA 1
OZBEKTAS 1
HEZERA 1
HASSUM 1
C.SONER 1
BELAT 1
HAY 1
MOHRUBE 4
ABDULSAMMET 1
GULTEBA 1
REFIGE 33
TUFA 7
NICCOLA 1
COCU 1
BULGUDAY 2
GAMZEDILERYA 1
ERLU 1
HUKUS 1
GUDEN 3
UMMUSUN 366
SOPIK 1
RUKUS 260
EPRUZE 5
REHAZE 1
CELATTIN 89
ZANBAKA 1
NAHIYYE 1
MUSRURA 1
SUVIYE 3
SULHUNAZ 1
TURGUN 5
MASAK 1
REMAY 1
SUGAN 3
ELBET 1
TUNCUBE 1
ULBEYT 1
SADUVAN 1
BUNYADIN 1
KANKILIC 3
ZAGIDAT 1
FLORIJE 1
SEFVET 1
ISTAGFIRA 3
BAHCIZEL 1
NEDRAT 1
BAHISE 436
DURANAY 4
DUNNER 2
TAVET 1
RAYNE 1
ATAKTURK 1
GUCER 32
ALNUR 3
NAHLAN 1
MINTECAP 1
ULVIDA 1
NOFELI 3
HURUSA 2
LALIS 5
SULKIBET 1
TELET 23
CANSELEN 1
BERRUNNISA 1
METER 1
ENTONG 1
SEVKETHAN 4
GULES 29
ALIABAS 4
MONIPUE 1
EFKARIYE 2
KERBIGAZI 4
KAMBER 17
HULIKI 1
OZNURAN 2
GULLUNAS 1
YUSUFCAGLAR 1
CANERI 3
BAKCAL 1
REYVAN 1
SERDEBIL 1
SEVGISU 1
KULSRAN 2
SADAKA 21
ZERNURA 1
METEY 2
SEYIDENAZ 1
MUJPEN 1
ELFIMA 1
ILGINC 10
SUNMEZ 1
ARZUBILGE 1
GOGERCIN 1443
ZENAR 2
BASIZATE 1
KHAL 1
DIRIF 1
HAMZABEY 1
OZGIN 4
EMRE 1159
NUSAPER 1
ZIYNETE 12
FERDAGUL 23
LEYLUZE 4
TURKEY 35
NURDAY 16
SOLIKA 1
FERHAT 66
TECAHAT 1
SERIFESAH 1
ZIMETULHAYAT 1
ALENE 2
HOGEC 1
MEHMETGAZI 5
FEHIMAN 4
NESREDDIN 36
TAFIDE 26
CUMAZA 1
SALDUK 1
MAHAZIZ 1
NECLI 4
SERANI 4
FULASE 3
VAKFI 3
SERVIN 337
GONGUR 2
SEFTAN 1
KOBRIYE 1
MUDRIK 10
IREBIYE 36
EUN 1
SADAKET 11
NAMEN 2
GEZEYIN 1
HUSNAFET 1
ORTAC 51
RUHAVAL 1
ACURIYE 1
EBUSSEFA 1
SEBGETTULLAH 1
AYDIGAN 2
HEMADE 1
DILAHSEN 2
EFEKAZIM 1
ZIYAFETE 1
MUCUDET 3
EVGANI 3
ERMAIL 1
MEDEIN 1
HAMRIK 2
HURRIYETE 1
SAYNUN 1
ABLA 48
PERWIN 2
KAFRE 8
MENZILAT 1
FUKAYYIR 1
SEIDA 3
NIDEMGUL 1
MUSF 1
HEMINGUL 2
BURSEV 2
YARDAY 1
MUSAYET 4
MEHMETDOGAN 1
BILGISEV 1
KIYASADDIN 1
MEGPULE 2
TECAATTIN 6
